saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2024-2025,https://www.flashscore.fr/match/CWNVuKGN/#/resume-du-match,0,3,0.3,0.7,3.0,10.0,1.0,6.0,2.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,6.0,5.0,2.0,0.0,5.0,6.0,0.0,1.0,0.78,0.89,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/r5Bmb1Wi/#/resume-du-match,2,0,0.65,0.35,11.0,2.0,2.0,1.0,4.0,1.0,5.0,0.0,4.0,0.0,1.0,1.0,2.0,8.0,3.0,0.0,8.0,2.0,0.0,1.0,0.88,0.74,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/4Kaddu14/#/resume-du-match,0,0,0.46,0.54,1.0,6.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,5.0,7.0,1.0,1.0,0.87,0.86,0.0,0.0,0,0,0
2024-2025,https://www.flashscore.fr/match/Cp34fJVG/#/resume-du-match,1,0,0.45,0.55,4.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,4.0,2.0,1.0,5.0,8.0,1.0,1.0,8.0,5.0,0.0,0.0,0.76,0.83,0.0,1.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/vJPNstnB/#/resume-du-match,0,2,0.28,0.72,2.0,9.0,1.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,7.0,4.0,0.0,1.0,4.0,7.0,0.0,0.0,0.81,0.92,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/I56Cllae/#/resume-du-match,2,1,0.33,0.67,6.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,6.0,8.0,0.0,0.0,8.0,6.0,1.0,1.0,0.82,0.88,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/0QuG89jR/#/resume-du-match,1,1,0.61,0.39,2.0,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,7.0,1.0,0.0,7.0,3.0,0.0,0.0,0.92,0.86,0.0,0.0,1,0,0
2024-2025,https://www.flashscore.fr/match/Au34jAUr/#/resume-du-match,2,2,0.35,0.65,3.0,7.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,7.0,5.0,0.0,2.0,5.0,7.0,1.0,0.0,0.76,0.88,0.0,0.0,1,2,0
2024-2025,https://www.flashscore.fr/match/Q7RXeW6L/#/resume-du-match,0,0,0.36,0.64,4.0,7.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,11.0,8.0,1.0,4.0,8.0,11.0,0.0,1.0,0.76,0.82,0.0,0.0,0,0,0
2024-2025,https://www.flashscore.fr/match/C4aLnST7/#/resume-du-match,2,2,0.47,0.53,9.0,8.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,6.0,7.0,0.0,1.0,0.84,0.89,0.0,0.0,1,2,0
